FDHI ID,Earthquake,Date,Magnitude,Cumulative displacement,Style,Hypocenter lat,Hypocenter lon,Feature,Breached or unbreached,Type (releasing or restraining),Type (single or double),Distance splay or double bend (m),Length (m) or angle (deg),Spacing double bend (m),Type (length or angle),Location along rupture,Total rupture length,Normalized location,Distance to epicenter,Distance to max slip,Slip at gate (m),Normalized slip at gate,x1check,y1check,UTM zone,latcheck,loncheck
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,restraining,double,1992.68023808104,16.0535267344628,551.04635400389,angle,18019.9892329319,31546.4857015686,0.571220179750036,7509.3749233521,8493.04375538183,0.0393127142857143,0.102570515388988,584235.757975799,3666444.55500601,11N,33.1334527219465,-116.096924243556
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,restraining,double,304.55321940612,4.30236956494803,22.8475724874867,angle,27109.9755377408,31546.4857015686,0.859365946311821,2387.86945967782,239.130295370836,0.296076833333333,0.772491900941448,577552.918923869,3672064.99558937,11N,33.1846432791457,-116.16808434401
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,releasing,double,689.335360623156,15.4935703934907,184.142318878413,angle,11789.9947118509,31546.4857015686,0.373734013461431,13749.8333431236,14746.4508311007,0.0625,0.163068293001109,588564.260343596,3661900.54226746,11N,33.092125398266,-116.050965368925
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,restraining,double,606.613363454567,17.670388388612,184.131824181602,angle,10879.9949812791,31546.4857015686,0.344887702681195,14650.7630959069,15627.9147721723,0.086,0.224381971169526,589069.386054625,3661150.36639212,11N,33.0853182448374,-116.045626304757
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,8.6506262054302,0,angle,9779.9954550446,31546.4857015686,0.310018540498104,15774.6176219819,16757.4771821392,0.09375,0.244602439501663,589868.096587859,3660351.10663736,11N,33.0780439349155,-116.037147761122
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,21.7526116388369,0,angle,8589.99571332053,31546.4857015686,0.272296438804067,16945.3014566218,17884.7261438151,NaN,NaN,590375.966290259,3659257.70570083,11N,33.0681404395249,-116.031815109758
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,restraining,double,1243.13945767443,7.28633188974025,157.664872578928,angle,14679.994479747,31546.4857015686,0.465344844386805,10861.3348499485,11894.8729940016,0.074868,0.195337551366512,586744.887433453,3664144.05073085,11N,33.1125065738826,-116.070246055903
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,restraining,double,314.799631518932,29.5179577631821,155.10062144028,angle,5119.9974893073,31546.4857015686,0.162300090658045,20366.7877203446,21220.0352306823,NaN,NaN,591963.805166912,3656166.65105605,11N,33.0401291219147,-116.015117435398
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,releasing,double,348.607297797479,21.1404679739333,125.727196037439,angle,3509.99980927745,31546.4857015686,0.111264368477752,21952.2144270141,22833.7582530118,0.03415575,0.089115517578762,593211.444836832,3655120.65724298,11N,33.0305891670232,-116.001864019227
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,6.79918950470492,0,angle,3349.99988042997,31546.4857015686,0.106192490413073,22117.5349282212,22997.8705830708,0.0388743333333333,0.101426738851564,593307.431202656,3654985.94535434,11N,33.0293659804638,-116.000850015335
